"geometry"
"POINT(16.371662891697607 59.40388342350176)"
"POINT(16.350997445396555 59.433752055504684)"
"POINT(16.37769189359558 59.374585545406944)"
"POINT(16.52051637500275 59.39158893570685)"
"POINT(16.429667134313004 59.36782949550128)"
"POINT(16.382210743027024 59.391571643793235)"
"POINT(16.448260715292378 59.39757444077602)"
"POINT(16.364082521994465 59.43754232190292)"
"POINT(16.45217367288702 59.335456003732844)"
"POINT(16.551948328739577 59.351962603607035)"
"POINT(16.303766552988883 59.38373818187354)"
"POINT(16.42605276383084 59.43629085935695)"
"POINT(16.455675491821022 59.371981272542804)"
"POINT(16.592843749482242 59.36848073780421)"
"POINT(16.425240703033822 59.35355658576016)"
"POINT(16.4050351829216 59.40635729851231)"
"POINT(16.30735578384817 59.34651999917305)"
"POINT(16.47602192642551 59.40805745143398)"
"POINT(16.501402779261443 59.42108695608326)"
"POINT(16.41706680429967 59.3423898122516)"
"POINT(16.38782758003466 59.413837615333925)"
"POINT(16.433647120677097 59.40246606705393)"
"POINT(16.58677009144718 59.35736685477328)"
"POINT(16.466860704138323 59.344221403976825)"
"POINT(16.58926824220957 59.42292953444791)"
"POINT(16.628292664489095 59.428796912978505)"
"POINT(16.511042463671888 59.38778241245921)"
"POINT(16.46966711530755 59.37394229291172)"
"POINT(16.519151702706306 59.33954315204971)"
"POINT(16.34969198584955 59.38228647034193)"
"POINT(16.413134095069257 59.420188570443344)"
"POINT(16.45536197551395 59.38642024907496)"
"POINT(16.5759388479023 59.41369053092303)"
"POINT(16.3026356237717 59.34887386678103)"
"POINT(16.655553623351757 59.41497029844421)"
"POINT(16.54163259543343 59.345586293594685)"
"POINT(16.49093973843687 59.3670378072437)"
"POINT(16.53105968927206 59.38268761908837)"
"POINT(16.357937386295212 59.40235925192306)"
"POINT(16.66557274550735 59.40412202681669)"
"POINT(16.45613587678263 59.37744183394951)"
"POINT(16.51965647910797 59.35893156587186)"
"POINT(16.531416085095653 59.35411795837657)"
"POINT(16.636032244040333 59.420828590215784)"
"POINT(16.360765643338798 59.41419588857146)"
"POINT(16.309174367332414 59.360756018450786)"
"POINT(16.495335246875648 59.408077801577676)"
"POINT(16.550685148779028 59.418808126047175)"
"POINT(16.61403133354577 59.42939016425147)"
"POINT(16.494389705097152 59.34192364812209)"
"POINT(16.416266805571173 59.41129440246559)"
"POINT(16.531833582956487 59.421870974897914)"
"POINT(16.50571512559748 59.37840301602548)"
"POINT(16.38172656426268 59.43438817246077)"
"POINT(16.571918785963653 59.41195722328272)"
"POINT(16.469441213221117 59.42207211605332)"
"POINT(16.505123818333733 59.345989955211216)"
"POINT(16.450921382639493 59.37648619317658)"
"POINT(16.62953981024723 59.3582702231629)"
"POINT(16.34598738761085 59.38850812049244)"
"POINT(16.31133253424331 59.43254412576247)"
"POINT(16.42828425338359 59.33480317832398)"
"POINT(16.383485576852426 59.39806768810433)"
"POINT(16.342384801312466 59.43949322306309)"
"POINT(16.565993718171864 59.41539807186631)"
"POINT(16.577752187412223 59.40868109510724)"
"POINT(16.49126751465965 59.37682287445785)"
"POINT(16.324623199763533 59.430118054008084)"
"POINT(16.55733939055718 59.41605462135868)"
"POINT(16.542104377068043 59.373902566766425)"
"POINT(16.349516037064006 59.42313545005074)"
"POINT(16.438893358931754 59.37813074812924)"
"POINT(16.400960092603142 59.39969595865368)"
"POINT(16.43781763586115 59.422080858435464)"
"POINT(16.66538456170198 59.35596005582491)"
"POINT(16.549390851146164 59.40335858998273)"
"POINT(16.452164674330625 59.35104993384923)"
"POINT(16.528794121617334 59.404725537351894)"
"POINT(16.40930197552382 59.41423570375851)"
"POINT(16.307555240797218 59.383372098718624)"
"POINT(16.31924363319595 59.39617331995794)"
"POINT(16.636195745396808 59.34805616611422)"
"POINT(16.327069645470953 59.35714538794694)"
"POINT(16.366119012871845 59.42185636379925)"
"POINT(16.51005577169434 59.351002657583145)"
"POINT(16.337245065779456 59.375546099407075)"
"POINT(16.57872930365555 59.33592178588379)"
"POINT(16.380683250525948 59.37650652409064)"
"POINT(16.443442088130777 59.3622564926589)"
"POINT(16.580133576451175 59.36974991010071)"
"POINT(16.58306230025997 59.33889868637888)"
"POINT(16.33271829778813 59.40964951195065)"
"POINT(16.45478724515522 59.35044405908682)"
"POINT(16.444474205912865 59.37897415655027)"
"POINT(16.448933648179796 59.408536456963034)"
"POINT(16.61129061062446 59.40088577556089)"
"POINT(16.428328056785837 59.389012208571124)"
"POINT(16.51148606945085 59.37374230106775)"
"POINT(16.440330396437368 59.3483927654267)"
"POINT(16.555035840489335 59.40291469843224)"
"POINT(16.54133495836872 59.37211959242152)"
"POINT(16.565846416839584 59.40467176321015)"
"POINT(16.40799202119089 59.33695663245371)"
"POINT(16.509420849942174 59.40980203668729)"
"POINT(16.448412010000048 59.35430683288628)"
"POINT(16.380609073322145 59.37389700675804)"
"POINT(16.63039722134157 59.3878423513774)"
"POINT(16.487598560081313 59.389341286204235)"
"POINT(16.524422038634487 59.398106885715436)"
"POINT(16.502904619137784 59.33865699597022)"
"POINT(16.326839372580693 59.427879158270805)"
"POINT(16.505624275808575 59.391857977160754)"
"POINT(16.324398019756803 59.37943488077074)"
"POINT(16.51999071264295 59.397512666740596)"
"POINT(16.563598547569416 59.36843858171925)"
"POINT(16.636675690432497 59.370695313236595)"
"POINT(16.613811496286356 59.39831276434767)"
"POINT(16.60802322999701 59.40208434569354)"
"POINT(16.595172891051675 59.36069412487263)"
"POINT(16.386372299889096 59.363889198757334)"
"POINT(16.400363725954186 59.34759938001323)"
"POINT(16.6624938638374 59.4268281507688)"
"POINT(16.321743272389533 59.41203824107241)"
"POINT(16.596824877497355 59.364721541814525)"
"POINT(16.603761850645068 59.43204436106104)"
"POINT(16.609425381679767 59.36755750659108)"
"POINT(16.34856314840981 59.33993600268473)"
"POINT(16.584238562735266 59.426603908839844)"
"POINT(16.343119129212635 59.42064507588793)"
"POINT(16.462176516058673 59.37852922514894)"
"POINT(16.373034153221795 59.39375401090404)"
"POINT(16.32590304764796 59.365952414077505)"
"POINT(16.548802286617736 59.40602913327739)"
"POINT(16.351157030607425 59.40546714077197)"
"POINT(16.374216600762775 59.40725874568624)"
"POINT(16.607199063514464 59.39376972263205)"
"POINT(16.351290150553908 59.36169938493613)"
"POINT(16.564913703881494 59.43215748306566)"
"POINT(16.49614174954138 59.43163927669332)"
"POINT(16.578663920559354 59.360702534527974)"
"POINT(16.552532109349272 59.41521539964805)"
"POINT(16.51346579836357 59.43019325119661)"
"POINT(16.38273640704271 59.396376654729515)"
"POINT(16.353241265614884 59.357966119533074)"
"POINT(16.489555011325777 59.36526119063256)"
"POINT(16.514990539791672 59.4163694739056)"
"POINT(16.642888683252053 59.358484542561875)"
"POINT(16.338674719170918 59.42010004581019)"
"POINT(16.46958464964705 59.38328381771598)"
"POINT(16.50569118091733 59.38970325311609)"
"POINT(16.387811187085966 59.34428758427779)"
"POINT(16.444670458349687 59.389449352833196)"
"POINT(16.34522461696548 59.35212272082373)"
"POINT(16.405052386104963 59.38751528569039)"
"POINT(16.497259337722905 59.38943165595496)"
"POINT(16.423616114444226 59.42360568503372)"
"POINT(16.53298074508222 59.37976432082039)"
"POINT(16.55849929405226 59.40778835128178)"
"POINT(16.434867487487544 59.4355426240321)"
"POINT(16.608225813504617 59.37909524378324)"
"POINT(16.59602375131173 59.400460576290705)"
"POINT(16.382454351403272 59.34783125534094)"
"POINT(16.45560297352928 59.34537168592841)"
"POINT(16.359229717743535 59.36703578530637)"
"POINT(16.541708709175982 59.34759057259983)"
"POINT(16.300636272518208 59.3941859916021)"
"POINT(16.607625964157542 59.38070475069353)"
"POINT(16.325316464174584 59.35861921358382)"
"POINT(16.457531890625607 59.41375583581994)"
"POINT(16.45702805688731 59.438605701818204)"
"POINT(16.48102570704563 59.351141146845286)"
"POINT(16.444949033972268 59.43271542186168)"
"POINT(16.644062364694708 59.43768683865801)"
"POINT(16.49674904727855 59.3621285958078)"
"POINT(16.525437289977575 59.4162533140933)"
"POINT(16.54588298615339 59.38053662673015)"
"POINT(16.40223941375522 59.399254482823146)"
"POINT(16.640760713241754 59.39891660128082)"
"POINT(16.5225465931446 59.439718243219595)"
"POINT(16.333454982895912 59.35838089381542)"
"POINT(16.49315390293847 59.352784651620915)"
"POINT(16.648076171904794 59.38793273207148)"
"POINT(16.38997649000844 59.39702423559615)"
"POINT(16.459384165968828 59.33974867730966)"
"POINT(16.427496291039894 59.342294138000064)"
"POINT(16.316039118379443 59.35454637314046)"
"POINT(16.35474464877561 59.34508707140867)"
"POINT(16.579066872097766 59.425464664571564)"
"POINT(16.418351972017614 59.402542188651374)"
"POINT(16.456466078456025 59.40912677498646)"
"POINT(16.313124990535126 59.37552840545341)"
"POINT(16.48808660519535 59.41487849270925)"
"POINT(16.62181092057442 59.43001250796238)"
"POINT(16.373511087899715 59.41778527472101)"
"POINT(16.465064992716968 59.41032696559449)"
"POINT(16.3709937486571 59.381952550538664)"
"POINT(16.435681126465223 59.33965365646224)"
"POINT(16.64846268804464 59.37131210498728)"
"POINT(16.652263250844477 59.34179767687491)"
"POINT(16.428368776627213 59.336684010081385)"
"POINT(16.434255064907024 59.40951435321106)"
"POINT(16.466064471700143 59.410856982634364)"
"POINT(16.49209872971663 59.38973346932262)"
"POINT(16.332186623336572 59.418741422292285)"
"POINT(16.39696912215497 59.391766518151435)"
"POINT(16.634507577326062 59.37511574490245)"
"POINT(16.45494173398704 59.3426519258008)"
"POINT(16.55440833865371 59.33546793449744)"
"POINT(16.58367636608368 59.42770680600803)"
"POINT(16.342676189573936 59.346166034248036)"
"POINT(16.372821264292412 59.373871221751)"
"POINT(16.48311084112969 59.33606398340699)"
"POINT(16.576081170795025 59.40253064312701)"
"POINT(16.466044980599843 59.402125730325274)"
"POINT(16.34616395135932 59.345117719220056)"
"POINT(16.465431006594585 59.41716223734125)"
"POINT(16.604900522380014 59.342226830444005)"
"POINT(16.554408759107666 59.41411945933882)"
"POINT(16.305855466188138 59.41111444601328)"
"POINT(16.62308966783132 59.42811728509481)"
"POINT(16.396781450688252 59.3989938287276)"
"POINT(16.62098993380351 59.35174690478424)"
"POINT(16.330891831257095 59.335680026671156)"
"POINT(16.315647767111017 59.40615594593222)"
"POINT(16.390202812789575 59.40981454905266)"
"POINT(16.447165850839195 59.43084863161535)"
"POINT(16.522224752175752 59.36882065227387)"
"POINT(16.64343223830443 59.33681634041699)"
"POINT(16.34841322931742 59.43416492282521)"
"POINT(16.352981595667877 59.40624431511554)"
"POINT(16.56694968546893 59.336613773370104)"
"POINT(16.59625725890878 59.39974136082747)"
"POINT(16.52924064201715 59.38827104836628)"
"POINT(16.414165924748403 59.35611179462985)"
"POINT(16.634531980231934 59.378098418775714)"
"POINT(16.31553542849861 59.4303814596847)"
"POINT(16.30979364786218 59.33638752706754)"
"POINT(16.665549493732943 59.42823280960798)"
"POINT(16.562090550778834 59.35766290924928)"
"POINT(16.463211599152487 59.37089698368816)"
"POINT(16.657707236863583 59.38263915571634)"
"POINT(16.3513449817161 59.39442509410191)"
"POINT(16.45811501584592 59.34411257715091)"
"POINT(16.425466602224343 59.370623843567685)"
"POINT(16.50099768264188 59.40112456191726)"
"POINT(16.47496315664968 59.403082492614736)"
"POINT(16.638288090080696 59.41524659801289)"
"POINT(16.571795533725382 59.40370320214573)"
"POINT(16.388368163898015 59.43729369784161)"
"POINT(16.368790386972083 59.385049906887815)"
"POINT(16.56164214730744 59.43916381993797)"
"POINT(16.409134262773325 59.383047219864416)"
"POINT(16.603638843318667 59.354953357685325)"
"POINT(16.57426972511565 59.40000342625951)"
"POINT(16.32983714567546 59.358374016934526)"
"POINT(16.359198028290436 59.392042497748236)"
"POINT(16.63279540282014 59.43797180004999)"
"POINT(16.34027978576074 59.408392369886066)"
"POINT(16.527133397247667 59.42414299213225)"
"POINT(16.586162759984294 59.372470560853)"
"POINT(16.66420385067908 59.34046111914814)"
"POINT(16.30759530496191 59.38117771301776)"
"POINT(16.587297707624803 59.42132211827818)"
"POINT(16.40351653912786 59.408986093910286)"
"POINT(16.394465779332915 59.41968515270585)"
"POINT(16.328803541051457 59.38757523660291)"
"POINT(16.404259007628827 59.36117524159599)"
"POINT(16.339893021480215 59.342494692538864)"
"POINT(16.630577494179054 59.41678134331479)"
"POINT(16.661079766256705 59.3742275843424)"
"POINT(16.30548661860726 59.37367944413272)"
"POINT(16.47079662231482 59.37052707810631)"
"POINT(16.336047404451485 59.4050049791978)"
"POINT(16.342367800039337 59.35050092678319)"
"POINT(16.537675926324997 59.35223795413596)"
"POINT(16.324361744756644 59.35239608902493)"
"POINT(16.570299327633897 59.4220312144892)"
"POINT(16.608064746876227 59.392722797365586)"
"POINT(16.538791948137973 59.40166792784973)"
"POINT(16.459714935644683 59.39315693284144)"
"POINT(16.32190318777051 59.39305033377852)"
"POINT(16.388476278161374 59.33598637318866)"
"POINT(16.570161198515223 59.39959358490524)"
"POINT(16.481137672039424 59.434833514002136)"
"POINT(16.450219570681533 59.39900091775568)"
"POINT(16.30751317068484 59.42473273893439)"
"POINT(16.36979611777308 59.34857133826238)"
"POINT(16.329742891957086 59.436626343781725)"
"POINT(16.447536415093367 59.40590954731676)"
"POINT(16.55252774075753 59.39000792222994)"
"POINT(16.507260604914496 59.399020340679094)"
"POINT(16.49359915862324 59.38684397070943)"
"POINT(16.624393208116395 59.427042194995735)"
"POINT(16.367704884443672 59.38245249663226)"
"POINT(16.65487584582578 59.43687388530112)"
"POINT(16.544975070690903 59.36593283842316)"
"POINT(16.324918430394902 59.424633999838186)"
"POINT(16.557698305703287 59.39814498561046)"
"POINT(16.30650266089825 59.39305990551378)"
"POINT(16.460118076807575 59.394678266670496)"
"POINT(16.427485389817793 59.42095274001207)"
"POINT(16.624246356440732 59.35783667079406)"
"POINT(16.51717428771319 59.43004211177705)"
"POINT(16.44926324369978 59.41233176625422)"
"POINT(16.316286308093748 59.389178707669004)"
"POINT(16.572995552871628 59.405914336868086)"
"POINT(16.615213156444575 59.40638397285742)"
"POINT(16.368176808765114 59.34755249180416)"
"POINT(16.52366988103126 59.3960231875752)"
"POINT(16.608172759692227 59.34270750161106)"
"POINT(16.456003592306764 59.35781661425793)"
"POINT(16.376861223084948 59.393542636360934)"
"POINT(16.596518836958776 59.42088674994094)"
"POINT(16.606706533804527 59.33482707404793)"
"POINT(16.46372173465938 59.42070855344419)"
"POINT(16.313903426476305 59.38491662424277)"
"POINT(16.401860963855526 59.4306238207421)"
"POINT(16.461367805247757 59.41522833733012)"
"POINT(16.339449475566205 59.413546145736724)"
"POINT(16.569797460048594 59.42548445170277)"
"POINT(16.449621138459708 59.41520700927023)"
"POINT(16.338381980444332 59.41306435028456)"
"POINT(16.42903624536812 59.43749673754501)"
"POINT(16.35698915143309 59.41717942824227)"
"POINT(16.468424299071266 59.385148027379586)"
"POINT(16.589011075914783 59.36793064255159)"
"POINT(16.651888750433347 59.41847471202219)"
"POINT(16.46807759726178 59.42511567143292)"
"POINT(16.326138038381234 59.35163698411875)"
"POINT(16.662161900603454 59.35115809646888)"
"POINT(16.660061967815746 59.34765770750932)"
"POINT(16.5956234871544 59.34472427801792)"
"POINT(16.397234683772112 59.41260343829791)"
"POINT(16.544764347991542 59.4088076928464)"
"POINT(16.364203268636896 59.402402078929704)"
"POINT(16.534350924034307 59.41696629823981)"
"POINT(16.505003851360694 59.34960660754079)"
"POINT(16.304309163912052 59.342279568571556)"
"POINT(16.517469207127224 59.35768825171765)"
"POINT(16.549565553920782 59.38477112648406)"
"POINT(16.4113967577806 59.340945533634056)"
"POINT(16.33285089165202 59.41297100484071)"
"POINT(16.400324179381776 59.36023992572576)"
"POINT(16.57513498875176 59.38521539527069)"
"POINT(16.565047472302503 59.421885286288166)"
"POINT(16.506927689764023 59.383786288689514)"
"POINT(16.444605898234524 59.43583314938133)"
"POINT(16.349677210202074 59.42065134857196)"
"POINT(16.343815000981586 59.42526364982001)"
"POINT(16.626881888721833 59.337850661707996)"
"POINT(16.425121625526238 59.4246426240919)"
"POINT(16.411727409098575 59.35171959675564)"
"POINT(16.583722467566997 59.37535060612199)"
"POINT(16.34180878331067 59.39787627746273)"
"POINT(16.434906782838738 59.41434813136884)"
"POINT(16.48676870886784 59.35583066693843)"
"POINT(16.385139739470162 59.379357735872695)"
"POINT(16.45670325533937 59.34563401301778)"
"POINT(16.619086075572056 59.34402448060407)"
"POINT(16.596960840395393 59.388191231310564)"
"POINT(16.47915264814951 59.39006494671115)"
"POINT(16.310870615950098 59.3718721625176)"
"POINT(16.61388626840663 59.35498082492483)"
"POINT(16.58598287431636 59.38933808473761)"
"POINT(16.38116676567227 59.43150739785465)"
"POINT(16.52365146331264 59.39404371408328)"
"POINT(16.327968903216785 59.39782424366481)"
"POINT(16.527081025350377 59.373591874404006)"
"POINT(16.656817966935243 59.386963808478626)"
"POINT(16.37293792498758 59.36046623524514)"
"POINT(16.326080339867485 59.39836314266454)"
"POINT(16.507263095301543 59.34444142502014)"
"POINT(16.42007435048447 59.386771216315275)"
"POINT(16.401451697220438 59.39084401199942)"
"POINT(16.608848706789555 59.412212503481285)"
"POINT(16.544832446468465 59.383278391055924)"
"POINT(16.586212436374925 59.391301439086845)"
"POINT(16.563341086032967 59.34487022073862)"
"POINT(16.542329700536243 59.37323623452519)"
"POINT(16.308322702894976 59.385841514485506)"
"POINT(16.37998599367317 59.34054414081955)"
"POINT(16.40213688556859 59.43211918053252)"
"POINT(16.5232274553784 59.381538041691)"
"POINT(16.35966310091094 59.342258499533344)"
"POINT(16.626550095939834 59.36959282575248)"
"POINT(16.608404550445226 59.42889344864374)"
"POINT(16.317107693203162 59.40964637683548)"
"POINT(16.34320273810521 59.356291267302936)"
"POINT(16.558709542423518 59.36819336004963)"
"POINT(16.419094229157796 59.413351719195866)"
"POINT(16.611699325311733 59.34328616378926)"
"POINT(16.594808294066272 59.38280367124039)"
"POINT(16.479641576845584 59.39859302419775)"
"POINT(16.368147502859024 59.38373592112896)"
